Minimum
Sample;Phase;milliVolt
PhT64_32_2020-02-18_15-04-04
1;20,0;7,370610146706444
;12,0;6,68822878628132
;12,0;6,307077634668364
;12,0;6,151084292179464
;16,0;6,1441763591265035
2;14,0;7,654108993202603
;12,0;6,767392466656883
;10,0;6,217889255720189
;18,0;5,925919685542892
;6,0;5,8118040812753655
3;20,0;7,277984188599281
;14,0;6,578678275123478
;12,0;6,160676609711965
;14,0;5,953902465192538
4;16,0;7,656674454072741
;14,0;6,849551533277916
;18,0;6,338683109600582
5;20,0;7,611896530066673
;14,0;6,821663102091378
;12,0;6,36729029711857
;14,0;6,165103627993211
6;20,0;6,367246771349867
;14,0;5,162046187164815
;16,0;4,460802336990123
;16,0;4,1535546078917145
;16,0;4,130342386935515
;18,0;4,28120506118746
;16,0;4,435615003700273
7;20,0;5,622562023701242
;14,0;4,43506839164099
;16,0;3,7523512180981364
;16,0;3,4640864906298012
;16,0;3,4599501967931032
;18,0;3,62961832414517
;16,0;3,8011864825337938
8;20,0;5,841571304155051
;14,0;4,661643780396754
;14,0;3,979796894735406
;16,0;3,686434599265919
;16,0;3,6719608460832065
;18,0;3,8267795872821884
;16,0;3,9794941605946605
9;20,0;6,182580364973023
;14,0;4,845314014768444
;14,0;4,0736449111230595
;16,0;3,7451880614047908
;16,0;3,7375584729815605
;20,0;3,928371153221301
;16,0;4,13081849875844
10;18,0;6,122461871550361
;14,0;4,809171834286921
;16,0;4,078312167745226
;16,0;3,8009377119256005
;16,0;3,848103306828369
;18,0;4,090863792453865
;16,0;4,3289249610793386
11;20,0;6,298502511940279
;14,0;5,014856476176506
;14,0;4,245489660075745
;16,0;3,8782384013236193
;16,0;3,800939037605753
;18,0;3,9014279066077693
;14,0;4,012504378220075
12;20,0;6,278376845876738
;14,0;4,971022726522895
;16,0;4,220467925907812
;16,0;3,903771185548327
;16,0;3,897991246961273
;18,0;4,080186851663494
;14,0;4,267861352828997
13;20,0;6,344916446443992
;14,0;5,047522686325321
;14,0;4,282002675382106
;16,0;3,932725959343289
;16,0;3,8840620839378097
;20,0;4,02038059489462
;14,0;4,1686410093729185
14;20,0;5,115306895822127
;14,0;3,956765596361679
;14,0;3,2838547630038937
;16,0;2,9888195200851957
;14,0;2,96390499194201
;20,0;3,101356302910767
;16,0;3,239901611358342
15;20,0;5,85415429083737
;14,0;4,596879618400245
;14,0;3,852412554104787
;12,0;3,5089308323960373
;0,0;3,4546121877190368
;14,0;3,577634354518832
16;18,0;5,733096326340323
;20,0;3,541208738520208
;20,0;2,3064488283480133
;20,0;1,8421891916936808
;22,0;1,9618024244271517
;22,0;2,4786611224183863
;22,0;3,1577164430208766
17;18,0;5,254403895545024
;20,0;3,197593198461213
;20,0;2,032664877239307
;20,0;1,5879144433522914
;22,0;1,6916374082731522
;22,0;2,1721292834748924
;22,0;2,8168462451410554
18;18,0;5,181872913948517
;20,0;3,163051599556606
;20,0;2,0045084175373784
;20,0;1,5408264015219268
;22,0;1,606588585141342
;22,0;2,0363780020267295
;22,0;2,6221696303758613
19;18,0;5,3046781685167925
;20,0;3,285814118343181
;20,0;2,150954542020509
;20,0;1,7281231828777086
;22,0;1,8453437842437115
;22,0;2,330640089447472
;22,0;2,96840025611687
20;18,0;5,612455126020834
;20,0;3,491974139110301
;20,0;2,306132548638609
;20,0;1,8719708050298478
;22,0;2,006529358708108
;22,0;2,526848660097494
;22,0;3,201607482832659
21;18,0;5,793136629077213
;20,0;3,4944189766410654
;22,0;2,153980716123027
;20,0;1,5916665892246735
;20,0;1,6273213376475821
;22,0;2,080789703093347
;22,0;2,7272037329508385
22;18,0;7,069277198298201
