2020-01-26 16:00:16
h	°C	1	2	3	4	5	6
0,0	-0,0	5,430469599999999	6,319775999999999	7,419385500000002	5,835740000000001	6,9175088	8,381510666666667
2,0	-0,0	7,488003266666666	7,8086444	8,5401871	7,4509760000000025	7,6817671999999995	8,315106
4,0	-0,0	7,6643202666666665	7,8369634	8,7194823	7,698434800000003	7,583328799999999	7,951498333333333
6,0	-0,0	7,881966266666666	7,119922900000001	8,614991100000001	7,667184800000002	7,6893855	7,860026333333333
8,0	-0,0	7,681313866666667	7,409815200000001	8,546583000000002	7,672264000000002	7,627664800000001	7,859701666666666
10,0	-0,0	7,519008666666667	7,396534399999999	8,3741691	7,413865600000003	7,646611199999999	8,435058333333334
12,0	-0,0	6,675502766666667	6,613134800000001	7,742918700000001	6,786911600000001	7,060283600000001	8,332846999999997
14,0	-0,0	5,533901766666666	6,2895024	7,282911	5,305857200000001	6,723563600000001	6,701172333333332
16,0	-0,0	6,076430266666665	6,3236828	7,460888500000001	5,094334000000002	6,9311816	6,538576333333333
18,0	-0,0	6,625649066666666	6,2459004	7,829052300000001	5,633591200000002	7,008328800000001	6,911786333333333
20,0	-0,0	6,527553266666667	6,653175600000001	7,9333499000000005	6,067576400000002	7,1290316	7,451010666666665
22,0	-0,0	6,427406266666667	6,904542	7,9093755	6,6406236000000005	7,105009199999999	7,589356333333332
24,0	-0,0	6,754164666666666	6,924463599999999	7,890088500000003	6,581834000000002	7,225322800000001	7,998048
26,0	-0,0	6,550259766666667	6,4819838999999995	8,3380363	6,945114400000002	6,9970016	7,768229666666666
28,0	-0,0	7,576039866666666	7,0970544	8,6954595	7,472654000000001	7,4128224	8,407389666666667
30,0	-0,0	7,592249866666667	7,3799332	8,8122555	7,730270800000002	7,555009600000001	7,487631333333333
32,0	-0,0	7,369789066666667	8,073617733333336	8,680616500000001	7,816210000000001	7,5661424	7,9975593333333315
