2020-01-26 16:00:16
h	°C	1	2	3	4	5	6
118,0	-0,0	7,422329266666667	7,5514171999999995	7,623487500000003	7,153708800000002	7,579813199999999	7,767415999999998
120,0	-0,0	7,470914266666666	7,5467308	8,098780300000001	7,232810400000002	7,343359333333333	7,800457333333333
122,0	-0,0	7,383267266666667	7,343214	8,113036699999999	7,208982800000001	7,4364565	8,079103333333332
124,0	-0,0	7,751039066666666	7,4041508	8,025587	7,3523412000000015	7,575516	7,948568999999999
126,0	-0,0	7,7930318666666665	7,238331199999999	7,923536000000001	7,376170400000001	7,43914	7,514160666666666
128,0	-0,0	7,650602266666667	7,3014168	7,632032000000001	7,404295600000002	7,523564	8,047526999999999
130,0	-0,0	7,755140666666667	7,417237600000001	7,486766500000002	7,303904400000002	7,579423599999999	7,8393559999999995
132,0	-0,0	7,247524266666668	7,5865736	7,3078135	6,9367176000000015	7,492899600000001	7,439616999999998
134,0	-0,0	7,354945766666667	7,686768	7,461214166666666	6,9761700000000015	7,5091104	7,74463
136,0	-0,0	7,266273466666668	7,5010264	7,085158000000002	6,758201200000002	7,527078400000001	7,935222333333332
138,0	-0,0	7,619203866666666	7,651613200000001	7,5456065	7,0492180000000015	7,4407504	7,586915666666666
140,0	-0,0	7,630140666666667	7,640676000000001	7,554883000000002	7,109764	7,410866800000001	8,089845
142,0	-0,0	7,5983062666666665	6,995491066666666	7,545849500000001	7,130662800000001	7,3643844	7,942383666666667
144,0	-0,0	7,7205710666666665	7,554346000000001	7,839795500000001	7,2273412000000015	7,413016800000001	7,509277666666666
146,0	-0,0	7,777601466666667	7,45122	7,962255500000001	7,312301600000001	7,4202432	7,8854169999999995
148,0	-0,0	7,746157066666667	6,915087733333333	7,698926000000002	7,314062000000002	7,386651999999999	7,762208666666666
150,0	-0,0	7,781117466666666	7,197965733333334	7,663281500000002	7,345701600000001	7,377128999999999	7,493652999999999
152,0	-0,0	7,825063466666665	7,866066	7,550245	7,367967600000002	7,485087199999999	7,561199666666666
154,0	-0,0	7,7037742666666675	8,0086436	7,5798343	7,195311200000001	7,4327939999999995	7,609864999999998
156,0	-0,0	7,464515866666667	8,0387224	7,3688485	6,879294800000001	7,381118666666667	7,868815999999999
158,0	-0,0	7,5397110666666665	8,134034	7,252393	6,975583200000001	7,344986	7,935547333333332
160,0	-0,0	7,203823266666666	8,043213999999999	7,3839845	6,754296800000001	7,545244	7,310547666666666
162,0	-0,0	7,555141066666667	7,700895066666667	7,329298	6,952342400000001	7,5024704	7,505696999999999
164,0	-0,0	7,551235766666667	8,0248544	7,4770015	7,137498400000001	7,449149200000001	7,133463999999997
