Minimum
Sample;Phase;milliVolt
PhT64_32_2019-04-30_11-09-59_merged
1;18;5,588214000000001
;22;5,6648428
;17;6,1004875
;21;5,6873283
;21;5,456640599999999
;17;5,6981448
;19;5,667089800000001
2;15;6,5571304999999995
;20;6,306316666666664
;18;6,7263684
;22;6,545119199999999
;2;6,806251600000001
;8;6,707227999999999
;2;6,6931664
3;16;7,1779312000000015
;18;7,085158000000002
;19;7,229250399999999
;18;7,262111599999999
;14;7,5787128
;13;7,791505000000001
;14;7,9351579999999995
4;18;5,246873866666665
;21;5,102146200000001
;21;5,2261702
;20;5,3432272
;20;5,445440933333333
;18;5,548566
;17;5,591160200000001
5;18;6,6630825
;22;6,6490219999999995
;22;6,8154276
;21;6,730271800000001
;19;6,7211888
;10;6,772654800000001
;3;6,834373599999999
6;22;6,296875666666667
;16;6,324544333333334
;17;6,542236000000001
;12;6,468261333333336
;19;6,511799833333335
;14;6,652830666666668
;8;6,642089

Maximum
Sample;Phase;milliVolt
PhT64_32_2019-04-30_11-09-59_merged
1;2;7,9362785
;2;7,4772126666666665
;2;7,136473499999999
;7;6,0290036166666665
;8;6,1716305
;0;6,222655999999999
;4;6,266357
2;6;8,134034
;2;7,8433616
;2;7,689454499999999
;12;7,4309926666666675
;18;7,1416032000000005
;16;7,464846666666666
;6;6,679039333333333
3;2;8,6145025
;8;7,9250495
;5;7,90598245
;1;8,090822
;3;8,285809083333334
;4;8,8122555
;2;8,645020500000001
4;4;7,8318344
;2;6,6437484
;4;6,1667952
;7;5,889109400000001
;5;5,9140605
;4;6,1679672
;4;6,1718716
5;2;7,628904399999999
;2;7,7034460000000005
;2;7,617508666666667
;2;7,0462868
;2;7,105789333333333
;10;6,9880836
;2;7,007482
6;4;8,193357666666667
;2;8,435058333333334
;2;8,1408204
;8;7,613118000000002
;6;7,620508400000002
;0;7,292317000000002
;4;7,421386333333335
