Minimum
Sample;Phase;milliVolt
PhT64_32_2019-04-30_11-09-59
1;14;6,10938
;16;6,217774
;18;6,2656279999999995
;20;5,8232446666666675
;21;5,83301
;19;6,067629999999999
;20;6,099611333333333
2;18;5,6230459999999995
;22;6,208982000000001
;18;5,839841999999999
;20;5,614582666666666
;20;5,732422666666666
;19;5,8825674999999995
;19;5,75
3;18;4,673831999999999
;22;4,561525999999999
;22;4,974612
;22;4,9443399999999995
;20;4,761723333333333
;21;4,950689
;17;5,021488
4;18;5,6376919999999995
;22;5,840815999999999
;20;6,205074666666667
;22;5,655271999999999
;20;5,410479333333334
;18;5,554684000000001
;16;5,5869108
5;19;5,545895000000001
;22;5,455074000000001
;17;6,207515000000001
;22;5,682612000000001
;21;5,606441000000001
;19;5,879391000000001
;16;5,973824800000001
6;14;6,135739999999998
;20;6,310541999999999
;18;6,404291999999998
;22;6,128903999999999
;15;6,487302999999998
;8;6,108393999999999
;22;5,665035999999999
7;14;5,981445999999999
;16;5,992189999999999
;18;5,91895
;22;5,942385999999999
;20;6,0752
;8;6,000003999999999
;20;5,6279319999999995
8;14;7,100586
;16;7,23242
;16;7,276368000000001
;22;7,152344000000001
;14;7,349608000000001
;4;7,213868000000001
;22;6,762694000000001
9;14;7,0019540000000005
;20;6,952154
;20;7,015628000000001
;22;6,979496
;16;6,8847700000000005
;22;6,720707999999999
;2;6,615238000000001
10;16;6,463874
;20;6,342779999999999
;18;6,64649
;22;6,522466
;2;6,639654
;8;6,811527999999998
;20;6,781254
11;16;7,418942000000001
;19;7,301754000000001
;20;7,328122000000002
;18;7,446288000000001
;16;7,639642
;17;7,996090000000002
;12;8,077144
12;18;7,121748666666666
;20;7,039391999999999
;19;7,0454170000000005
;18;7,18848
;15;7,487308
;16;7,676759999999999
;13;7,881353000000001
13;17;7,303222999999999
;19;7,219237999999999
;19;7,274414
;18;7,416994
;16;7,669922666666665
;16;7,902342
;13;8,131348
14;18;6,606773333333334
;19;6,487796000000001
;19;6,538089000000001
;18;6,689456000000002
;16;6,890628666666668
;16;7,008794
;13;7,223638000000001
15;18;7,468101333333332
;19;7,354005999999999
;19;7,372562999999999
;18;7,5693399999999995
;17;7,783695
;16;7,878909999999999
;13;8,114259999999998
16;18;5,871414000000001
;20;5,735996
;21;5,825677000000001
;20;5,973951333333335
;20;6,124341333333334
;18;6,233716666666667
;17;6,308098
17;18;4,939779333333333
;21;4,793947
;21;4,935549
;20;5,073894000000001
;20;5,162435333333334
;18;5,276694
;18;5,293945333333333
18;18;4,844073999999999
;20;4,697264
;21;4,791501
;21;4,8515609999999985
;20;4,9625639999999995
;19;5,051510999999999
;17;5,092772
19;18;5,102536000000001
;20;4,972654000000001
;21;5,0688450000000005
;20;5,17936
;20;5,301757333333334
;18;5,420246
;17;5,460692
20;18;5,476566000000001
;21;5,379881
;21;5,509279
;20;5,598632666666667
;20;5,676106666666667
;18;5,768556
;17;5,7822265
21;14;6,35938
;20;6,467451333333333
;22;6,460944
;21;6,525395999999999
;18;6,507813999999999
;10;6,56348
;2;6,62012
22;18;6,607418
;22;6,703124
;20;7,025386
;20;6,7441379999999995
;19;6,820308499999999
;9;6,853513
;3;6,889157
23;22;6,327149999999999
;22;6,162109999999999
;21;6,416015
;20;6,41276
;20;6,376949999999999
;15;6,441896
;0;6,521483999999999
24;15;6,717277000000001
;20;6,949536000000001
;0;6,901360000000002
;21;6,8881760000000005
;19;6,779288000000001
;22;6,873037999999999
;4;6,964836000000001
25;20;7,066405999999999
;22;6,928708
;18;7,073237999999999
;22;6,947264
;18;7,0527326666666665
;15;6,942867000000001
;22;6,982418
26;22;6,9336
;16;6,929696
;16;7,100588
;12;7,35645
;14;7,342776000000001
;22;7,580082
;16;7,528324
27;22;6,672853999999999
;16;6,624028
;17;6,811527
;22;6,722658
;20;6,727542
;8;6,978515999999999
;8;7,035156000000001
28;22;6,604487999999999
