30.04.2019	15:00:00
h	°C	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
0,30840	21,4	5,94727	5,43457	4,58984	5,05371	5,36133	6,05957	5,10254	6,55273	6,86523	6,87988	7,32422	7,29980	7,71973	6,78223	7,49512	6,49414	5,52246	5,44434	5,68359	6,30859	6,96289	7,30957	6,79688	7,19238	7,41699	8,61328	8,49609	8,40332	7,67578	8,29102	8,35449	0,05371
0,31673	21,4	5,94238	5,33203	4,58984	5,11719	5,30273	6,11328	5,10742	6,54297	6,87012	6,87500	7,33398	7,30469	7,71973	6,79688	7,50488	6,46973	5,50781	5,41504	5,68359	6,28418	6,98730	7,32910	6,80664	7,18750	7,41699	8,61328	8,49609	8,40332	7,67578	8,28613	8,34961	0,05371
0,32507	21,3	5,92285	5,47852	4,64355	5,23438	5,27832	6,15723	5,10254	6,53320	6,87988	6,88477	7,34863	7,31445	7,71973	6,80664	7,51953	6,45996	5,49316	5,40039	5,65918	6,26953	7,00195	7,33887	6,81641	7,19727	7,42676	8,61328	8,49121	8,40332	7,67578	8,28613	8,34961	0,05371
2,00001	20,8	8,06152	8,22266	7,30469	8,01758	8,08105	7,77832	7,45117	8,09082	7,75879	7,91016	8,75977	8,35938	8,60352	7,66602	8,39355	8,46680	7,53906	7,12891	7,59277	8,14453	7,64160	8,22266	7,23145	8,12012	7,87598	8,68652	8,54004	8,41309	7,67090	8,49609	8,23730	0,05859
2,00834	20,9	7,92969	8,09570	7,18262	7,88574	7,93945	7,68066	7,37305	8,02734	7,70508	7,82227	8,72070	8,33496	8,55957	7,64648	8,36426	8,44727	7,52441	7,10938	7,59277	8,15430	7,62207	8,19336	7,19727	8,11523	7,84180	8,68164	8,53516	8,40820	7,66602	8,48633	8,23242	0,05371
2,01667	20,9	7,90039	8,05664	7,15820	7,82715	7,89551	7,65137	7,35352	8,00293	7,70020	7,81250	8,69141	8,32031	8,54980	7,62207	8,34473	8,41309	7,48535	7,13379	7,54395	8,11523	7,59277	8,15430	7,17285	8,07617	7,81250	8,67188	8,52539	8,39844	7,65625	8,47656	8,22266	0,05371
2,02501	20,9	7,85645	7,98828	7,11426	7,77832	7,84180	7,62695	7,33887	7,99805	7,69531	7,79785	8,67676	8,32031	8,54004	7,60254	8,32520	8,37891	7,44629	7,15332	7,51953	8,07617	7,58301	8,14453	7,17773	8,06152	7,80762	8,66211	8,52051	8,39844	7,64648	8,46680	8,21777	0,05371
2,03334	20,9	7,82715	7,95898	7,08008	7,73926	7,80273	7,63184	7,34375	7,98340	7,69531	7,80762	8,65234	8,30566	8,54004	7,59766	8,31543	8,35938	7,41699	7,13867	7,48535	8,04688	7,57813	8,13477	7,18262	8,06152	7,80762	8,65723	8,51563	8,38867	7,64160	8,45703	8,20801	0,05371
2,04168	20,9	7,79785	7,91992	7,06543	7,69531	7,77344	7,62207	7,33398	7,97852	7,71973	7,81250	8,64746	8,31055	8,53516	7,59277	8,31055	8,33008	7,39746	7,11914	7,47070	8,02734	7,57813	8,13477	7,17773	8,06641	7,81738	8,65723	8,50586	8,38379	7,64160	8,45215	8,20313	0,05371
2,05001	20,9	7,78320	7,88574	7,04102	7,67090	7,75879	7,62695	7,32910	7,97852	7,72949	7,82715	8,29590	8,31543	8,53027	7,58301	8,31055	8,31543	7,37793	7,11426	7,46094	8,00781	7,57813	8,12988	7,18262	8,06641	7,81738	8,65234	8,50098	8,37891	7,63184	8,44727	8,20313	0,05371
