Minimum
Sample;Period per day
PhT64_32_2020-02-18_15-04-04
1;16,0;24,0;24,0;76,0
2;22,0;22,0;32,0;36,0
3;18,0;22,0;26,0
4;22,0;28,0
5;18,0;22,0;26,0
6;18,0;26,0;24,0;24,0;26,0;22,0
7;18,0;26,0;24,0;24,0;26,0;22,0
8;18,0;24,0;26,0;24,0;26,0;22,0
9;18,0;24,0;26,0;24,0;28,0;20,0
10;20,0;26,0;24,0;24,0;26,0;22,0
11;18,0;24,0;26,0;24,0;26,0;20,0
12;18,0;26,0;24,0;24,0;26,0;20,0
13;18,0;24,0;26,0;24,0;28,0;18,0
14;18,0;24,0;26,0;22,0;30,0;20,0
15;18,0;24,0;22,0;36,0;38,0
16;26,0;24,0;24,0;26,0;24,0;24,0
17;26,0;24,0;24,0;26,0;24,0;24,0
18;26,0;24,0;24,0;26,0;24,0;24,0
19;26,0;24,0;24,0;26,0;24,0;24,0
20;26,0;24,0;24,0;26,0;24,0;24,0
21;26,0;26,0;22,0;24,0;26,0;24,0
22;26,0;26,0;22,0;24,0;24,0;22,0
23;26,0;26,0;22,0;24,0;24,0;24,0
24;26,0;26,0;22,0;24,0;24,0;24,0
25;26,0;24,0;24,0;24,0;24,0;24,0
26;26,0;24,0;24,0;24,0;26,0;26,0
27;26,0;24,0;24,0;24,0;26,0;26,0
28;26,0;24,0;24,0;24,0;26,0;26,0
29;26,0;24,0;24,0;24,0;26,0;26,0
30;26,0;24,0;24,0;26,0;24,0;24,0
31;
32;28,0;26,0;26,0;24,0;12,0;10,0

Maximum
Sample;Period per day
PhT64_32_2020-02-18_15-04-04
1;20,0;28,0;20,0;86,0
2;30,0;18,0;26,0
3;22,0;28,0;20,0
4;28,0;20,0
5;22,0;28,0;20,0
6;26,0;24,0;26,0;26,0;20,0;24,0
7;26,0;26,0;24,0;26,0;20,0;24,0
8;26,0;24,0;26,0;26,0;18,0;24,0
9;26,0;24,0;26,0;26,0;20,0;22,0
10;26,0;26,0;24,0;26,0;18,0;24,0
11;26,0;24,0;26,0;26,0;18,0;22,0
12;26,0;24,0;26,0;26,0;18,0;22,0
13;26,0;24,0;26,0;26,0;18,0;22,0
14;26,0;24,0;24,0;28,0;20,0;22,0
15;24,0;28,0;40,0;28,0;20,0
16;28,0;24,0;22,0;28,0;22,0
17;28,0;24,0;24,0;26,0;22,0
18;28,0;24,0;24,0;26,0;22,0
19;28,0;24,0;22,0;28,0;22,0
20;28,0;24,0;22,0;28,0;22,0
21;26,0;24,0;24,0;26,0;20,0;24,0
22;26,0;24,0;24,0;26,0;20,0;20,0
23;26,0;24,0;24,0;26,0;20,0;22,0
24;26,0;24,0;22,0;28,0;20,0;22,0
25;26,0;24,0;22,0;28,0;20,0;22,0
26;26,0;24,0;26,0;24,0;22,0;22,0
27;26,0;24,0;24,0;28,0;20,0;20,0
28;26,0;26,0;28,0;18,0;26,0;22,0
29;24,0;24,0;26,0;24,0;22,0;22,0
30;24,0;26,0;24,0;24,0;22,0;22,0
31;
32;28,0;22,0;22,0;28,0;22,0;6,0;28,0
