2020-02-04 15:07:36
h	°C	1
0,0	-0,0	5,545738666666666
1,0	-0,0	6,295738666666666
2,0	-0,0	6,8751653333333325
3,0	-0,0	7,301922999999999
4,0	-0,0	7,480959666666665
5,0	-0,0	7,618655666666665
6,0	-0,0	7,783206666666665
7,0	-0,0	7,861493333333332
8,0	-0,0	7,922853999999999
9,0	-0,0	7,998537666666666
10,0	-0,0	7,9176466666666645
11,0	-0,0	7,812664999999997
12,0	-0,0	7,243981
13,0	-0,0	6,008303333333331
14,0	-0,0	4,179039666666665
15,0	-0,0	2,8317086666666658
16,0	-0,0	3,1072616666666653
17,0	-0,0	3,3434269999999984
18,0	-0,0	4,052411333333332
19,0	-0,0	4,863772666666665
20,0	-0,0	5,093263999999999
21,0	-0,0	5,519534666666665
22,0	-0,0	6,129884999999999
23,0	-0,0	6,480146333333331
24,0	-0,0	6,6557646666666646
25,0	-0,0	6,952965666666665
26,0	-0,0	7,276043666666665
27,0	-0,0	7,515627666666665
28,0	-0,0	7,784019333333331
29,0	-0,0	7,985679999999999
30,0	-0,0	8,087568666666664
31,0	-0,0	8,166994666666666
32,0	-0,0	8,201173333333331
33,0	-0,0	8,2251
34,0	-0,0	8,177898999999998
35,0	-0,0	8,069501333333331
36,0	-0,0	7,828941999999998
37,0	-0,0	7,442385333333332
38,0	-0,0	6,879265066666665
39,0	-0,0	6,215660333333331
40,0	-0,0	5,619141999999999
41,0	-0,0	4,980145999999998
42,0	-0,0	4,864585666666666
43,0	-0,0	4,879396999999998
44,0	-0,0	4,981447666666665
45,0	-0,0	5,361330666666665
46,0	-0,0	5,848309666666665
47,0	-0,0	6,2207063333333315
48,0	-0,0	6,630861333333333
49,0	-0,0	6,8028993333333325
50,0	-0,0	6,8365909999999985
51,0	-0,0	7,0182319999999985
52,0	-0,0	7,259606333333332
53,0	-0,0	7,4825876666666655
54,0	-0,0	7,597984666666665
55,0	-0,0	7,694663999999998
56,0	-0,0	7,751466999999998
57,0	-0,0	7,804527666666665
58,0	-0,0	7,804853333333332
59,0	-0,0	7,739098333333333
60,0	-0,0	7,606610999999999
61,0	-0,0	7,377444333333331
62,0	-0,0	7,218915333333332
63,0	-0,0	6,849612999999999
64,0	-0,0	6,551109999999998
65,0	-0,0	6,205405666666665
66,0	-0,0	6,055829999999999
67,0	-0,0	6,216962999999999
68,0	-0,0	6,360191666666665
69,0	-0,0	6,553386999999998
70,0	-0,0	6,601076666666665
71,0	-0,0	6,858371066666665
72,0	-0,0	7,117353866666665
73,0	-0,0	7,226241166666665
74,0	-0,0	7,333663666666665
75,0	-0,0	7,464684333333331
76,0	-0,0	7,532067
77,0	-0,0	7,5665723333333315
78,0	-0,0	7,688153666666665
79,0	-0,0	7,7600936666666644
80,0	-0,0	7,738446666666665
81,0	-0,0	7,765954333333331
82,0	-0,0	7,725263666666665
83,0	-0,0	7,708010666666665
84,0	-0,0	7,666019333333331
85,0	-0,0	7,516441666666665
86,0	-0,0	7,471682666666666
87,0	-0,0	7,365562666666666
88,0	-0,0	7,130536666666666
89,0	-0,0	7,125491333333333
90,0	-0,0	6,996259666666665
91,0	-0,0	6,897788666666664
92,0	-0,0	7,0113949999999985
93,0	-0,0	7,088055666666666
94,0	-0,0	7,115236999999999
95,0	-0,0	7,132001999999998
96,0	-0,0	7,346844666666666
97,0	-0,0	7,399385866666664
98,0	-0,0	7,510907999999999
99,0	-0,0	7,618003333333332
100,0	-0,0	7,5466506666666655
101,0	-0,0	7,735190666666666
102,0	-0,0	7,816897333333332
103,0	-0,0	7,871747666666666
104,0	-0,0	7,886233333333331
105,0	-0,0	7,886395333333331
106,0	-0,0	7,859215666666666
107,0	-0,0	7,8315459999999995
108,0	-0,0	7,795087333333331
109,0	-0,0	7,7167993333333325
110,0	-0,0	7,655601666666664
111,0	-0,0	7,438447066666665
112,0	-0,0	7,440204666666665
113,0	-0,0	7,312860666666665
114,0	-0,0	7,214032666666665
115,0	-0,0	7,213447466666665
116,0	-0,0	7,356367166666665
117,0	-0,0	7,431319166666665
118,0	-0,0	7,3474310666666645
119,0	-0,0	7,360516666666665
120,0	-0,0	7,417352666666664
121,0	-0,0	7,463446666666664
122,0	-0,0	7,557391466666665
123,0	-0,0	7,598994266666665
124,0	-0,0	7,810712333333331
125,0	-0,0	7,866540333333331
126,0	-0,0	7,901858333333331
127,0	-0,0	7,983238999999999
128,0	-0,0	7,991864999999999
129,0	-0,0	7,964032999999999
130,0	-0,0	7,957359666666665
131,0	-0,0	7,936037999999998
132,0	-0,0	7,943036666666666
133,0	-0,0	7,925946333333332
134,0	-0,0	7,9002306666666655
135,0	-0,0	7,918133666666664
136,0	-0,0	7,887535666666665
137,0	-0,0	7,851076999999998
138,0	-0,0	7,853192666666665
139,0	-0,0	7,876305333333331
140,0	-0,0	7,8930696666666655
141,0	-0,0	7,893395333333332
142,0	-0,0	7,879722666666666
143,0	-0,0	7,967776666666666
144,0	-0,0	8,003746999999999
145,0	-0,0	8,039878999999997
146,0	-0,0	8,061201333333331
147,0	-0,0	8,066896999999997
148,0	-0,0	8,090497333333332
149,0	-0,0	8,109052999999998
150,0	-0,0	8,160647999999998
151,0	-0,0	8,157717333333332
152,0	-0,0	8,162599999999998
153,0	-0,0	8,137046666666665
154,0	-0,0	8,139487666666666
155,0	-0,0	8,131676333333331
156,0	-0,0	8,133628999999999
157,0	-0,0	8,137535333333332
158,0	-0,0	8,107099333333332
159,0	-0,0	8,072268999999999
160,0	-0,0	8,024579333333332
161,0	-0,0	8,052248333333331
162,0	-0,0	8,096844666666666
164,0	-0,0	8,102053666666665
