Minimum
Sample;Phase;milliVolt
PhT64_32_2020-01-21_13-37-16
;1;9,214642399999999
;8;7,994785999999998
;2;8,822871
10;13;8,9617154
;18;8,780270666666667
;20;8,690567142857144
;21;8,646482400000002
;1;8,6843716
;8;7,724281333333335
;2;8,3631555
11;13;9,421675599999999
;18;9,199973777777778
;20;9,090258
;21;9,0550736
;1;9,0779252
;8;7,866205999999998
;2;8,719600499999999
12;14;9,46191425
;18;9,208566285714285
;21;9,092774799999999
;21;9,025196399999999
;21;8,883301
;22;8,649090000000001
;2;8,63867325
13;14;9,31710142857143
;17;8,95715
;21;8,8121064
;21;8,842526499999998
;22;8,697263999999999
;7;7,459470999999999
;2;8,511227499999999
14;13;8,454975555555556
;17;8,218633500000003
;20;8,076038571428573
;21;8,1369695
;0;8,127692
;7;7,002447000000002
;2;7,856451250000001
15;14;9,064458
;17;8,691533499999998
;20;8,475869714285713
;21;8,5854545
;21;8,401128
;17;7,347659999999999
;2;8,241826499999998
16;14;9,134901428571428
;17;8,7318095
;21;8,5261696
;21;8,599606000000001
;22;8,479162666666666
;17;7,504879000000001
;2;8,249753
17;12;8,269628
;17;8,04663075
;19;7,89538575
;21;7,9594724999999995
;1;7,934765199999999
;8;6,85905
;3;7,6871748888888884
18;12;8,159275800000001
;16;7,964158800000002
;19;7,8574202500000006
;1;7,894529200000001
;2;7,659038285714287
;3;7,608940222222222
19;13;8,378364666666666
;18;8,162249142857144
;20;7,981584571428573
;21;8,001221000000001
;1;8,023829600000003
;1;7,793555200000002
;2;7,727661750000001
20;12;9,0940438
;18;8,86181675
;21;8,7275388
;21;8,6501465
;1;8,7205092
;2;8,42061942857143
;3;8,397896444444445
21;14;8,603098285714287
;18;8,291018
;21;8,133985200000001
;21;8,1235365
;0;8,1318385
;17;6,909182000000001
;2;7,803467750000001
22;14;9,284180571428573
;18;8,900671142857144
;21;8,6759768
;21;8,689697
;21;8,535157000000002
;22;8,333984666666668
;2;8,378070285714287
23;14;8,391042285714287
;18;8,114675714285715
;20;7,923408571428571
;21;7,9716785
;22;7,814778
;22;7,552733333333332
;2;7,63818325
24;12;8,925683200000002
;18;8,708566285714287
;20;8,503348
;21;8,5048825
;1;8,524804800000002
;22;8,237794000000001
;2;8,235229750000002
25;14;9,102535999999999
;17;8,72692625
;19;8,516477250000001
;21;8,6018035
;21;8,402342
;22;8,193682666666666
;2;8,214718999999999
26;14;9,420475142857143
;17;9,03149025
;20;8,83132942857143
;21;8,901606999999998
;21;8,697016999999999
;22;8,477860666666666
;2;8,495602
27;14;9,005716000000001
;17;8,679805250000001
;20;8,513667714285715
;21;8,559565499999998
;21;8,379634
;22;8,192053333333334
;2;8,212188857142857
28;14;9,44531275
;17;9,18982025
;20;9,047434857142857
;21;9,0515145
;21;8,8669445
;22;8,691408000000001
;2;8,73401025
29;14;8,423409714285715
;17;8,136107250000002
;20;7,990932
;21;8,031005
;21;7,8398425000000005
;17;6,799805000000001
;2;7,706664750000002
30;14;9,619975714285713
;17;9,26025275
;20;9,079797428571428
;21;9,123045999999999
;22;8,961260666666666
;17;7,720213999999999
;2;8,729856250000001
31;14;9,279289142857143
;17;8,931511
;21;8,782609200000001
;21;8,788811500000001
;21;8,613029000000001
;22;8,401034000000001
;2;8,429558
32;11;0,8509009600000002
;11;0,85129216
;11;0,8511356800000001
;11;0,8503924
;11;0,85004032
;11;0,8497664799999999
;3;0,84961
