14.01.2020	14:45:00
h	°C	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
0,00000	21,6	6,16211	6,09863	5,52246	5,55176	5,46387	6,31836	6,25977	6,43066	7,14844	6,83105	5,80078	6,34277	6,40137	5,28320	6,14258	6,94824	5,74219	5,62988	6,07422	6,32324	5,54199	5,31738	5,30273	5,23438	4,88770	7,30469	6,95801	7,28027	6,70898	7,69531	9,62891	0,07324
0,00834	21,6	6,13281	6,05957	5,46387	5,48340	5,39063	6,28906	6,24023	6,40625	7,12891	6,81641	5,72754	6,26465	6,35254	5,20508	6,03516	6,93359	5,71777	5,61523	6,05957	6,30859	5,47852	5,24414	5,22461	5,15625	4,79492	7,28516	6,94336	7,26563	6,70410	7,67578	9,62891	0,07324
0,01667	21,6	6,10352	6,01563	5,39063	5,41504	5,31738	6,26953	6,23047	6,39160	7,12891	6,80664	5,63477	6,18164	6,30371	5,12207	5,94238	6,92383	5,70801	5,59570	6,04492	6,29883	5,41016	5,18555	5,15137	5,09766	4,73145	7,28516	6,93359	7,25586	6,68945	7,67090	9,61914	0,07324
0,02501	21,6	6,09863	5,99121	5,34180	5,36133	5,26855	6,25977	6,22070	6,38672	7,13379	6,79688	5,54199	6,10840	6,27441	5,03906	5,85938	6,91406	5,70313	5,58594	6,04004	6,29883	5,35156	5,14648	5,08301	5,03906	4,65820	7,27051	6,91895	7,24121	6,67969	7,66113	9,61914	0,07324
0,03334	21,6	6,08398	5,95703	5,29297	5,31738	5,22949	6,24512	6,20605	6,37207	7,14844	6,78711	5,43457	6,04004	6,24512	4,95605	5,76172	6,90918	5,69336	5,56641	6,03027	6,29395	5,29297	5,10254	5,02441	5,00000	4,59473	7,26074	6,90918	7,22656	6,67480	7,65137	9,61914	0,07324
0,04168	21,6	6,08887	5,94238	5,26367	5,27344	5,20508	6,24023	6,19629	6,36230	7,16797	6,77734	5,33691	5,96680	6,21582	4,87793	5,67871	6,90430	5,69336	5,56641	6,02051	6,28906	5,23926	5,06836	4,96582	4,96582	4,55078	7,25098	6,89453	7,21680	6,66992	7,64160	9,61426	0,07324
0,05001	21,6	6,09863	5,93262	5,23438	5,24414	5,19043	6,23535	6,18652	6,35254	7,18750	6,77246	5,25879	5,90332	6,18652	4,79980	5,59570	6,89453	5,69824	5,55664	6,01563	6,28418	5,18066	5,03906	4,91211	4,93652	4,52637	7,24609	6,88477	7,20215	6,66504	7,62695	9,61914	0,07324
0,05835	21,6	6,10840	5,92285	5,21973	5,22949	5,18066	6,22559	6,17676	6,34766	7,20703	6,76270	5,19531	5,85449	6,15723	4,73633	5,53223	6,88965	5,69336	5,55664	6,01074	6,27441	5,13184	5,01953	4,86816	4,90234	4,50195	7,24121	6,87988	7,19727	6,66016	7,62207	9,61914	0,07324
0,06668	21,6	6,12305	5,92285	5,20996	5,22461	5,18066	6,22070	6,17188	6,34277	7,23633	6,76270	5,14648	5,81055	6,13770	4,69238	5,49316	6,88477	5,68848	5,55176	6,01074	6,26953	5,08789	4,99023	4,82910	4,88770	4,47754	7,23633	6,87500	7,18262	6,66016	7,61230	9,61914	0,07324
0,07501	21,6	6,13770	5,91797	5,20508	5,22461	5,18555	6,21582	6,16211	6,33789	7,25586	6,75293	5,11719	5,77148	6,11328	4,62402	5,48340	6,87500	5,68359	5,55176	6,01074	6,26465	5,04883	4,97070	4,79004	4,87793	4,45313	7,22656	6,87012	7,17773	6,65039	7,60254	9,61914	0,07324
