2020-02-03 16:45:09
h	°C	1	2	3	4	5	6
0,0	-0,0	6,0190453	6,631348499999999	5,805075999999999	6,286915199999999	5,191796399999999	7,566567666666665
2,0	-0,0	5,400881300000001	6,315431499999998	5,875878500000001	6,286006533333332	5,004881999999999	6,846516533333332
4,0	-0,0	5,7940441	6,487502899999998	6,1304672	6,172461599999999	5,493260299999998	6,715005866666667
6,0	-0,0	6,2323257000000005	6,445705699999998	6,401364000000002	6,0876964	5,9410137999999995	6,6638982
8,0	-0,0	6,3070341999999995	6,380666899999999	6,562106800000001	6,030859999999999	5,9697256	6,6123031999999995
10,0	-0,0	6,381007199999999	6,484768499999997	6,5613248	6,057813599999998	6,037498799999999	6,643878866666666
12,0	-0,0	6,5880387	6,584963299999998	6,84531	6,1709	6,2548812	6,720864533333334
14,0	-0,0	6,8385257	6,8724640999999975	7,0923808	6,510351599999999	6,550194799999999	7,359536866666667
16,0	-0,0	5,5583021	7,171877699999998	5,825584	6,773241999999998	5,4365223999999985	7,617739266666666
18,0	-0,0	4,1850605000000005	6,816995699999997	4,3564432	6,558793199999999	3,9425776	6,832843866666665
20,0	-0,0	4,3385287	6,9898476999999986	4,574411200000001	6,726761199999999	3,9869131999999983	7,265787266666667
22,0	-0,0	5,7825217	7,643556499999998	5,9728496	7,061523599999999	5,3197247999999995	7,9085588666666675
24,0	-0,0	6,949367199999999	7,698830899999999	7,232615200000001	7,337501199999999	6,717187199999999	8,201333666666667
26,0	-0,0	7,050490900000001	7,750245999999998	7,4410124	7,258398799999999	6,980859199999999	8,116763266666666
28,0	-0,0	7,1615247	7,668701999999998	7,4121071999999995	7,1449224	6,929881999999999	7,978871666666667
30,0	-0,0	7,1405292	7,498050899999998	7,3898408	7,123633599999999	6,900780399999999	7,945669666666666
32,0	-0,0	7,1209972	7,482034099999997	7,366207999999999	7,097851599999999	6,858201999999999	7,920864866666667
34,0	-0,0	7,0992687	7,460549699999997	7,341988800000001	7,084765599999999	6,829490799999999	7,918910866666666
36,0	-0,0	7,063867200000001	7,449025699999997	7,3166004000000004	7,069532399999999	6,8099612	7,905044466666667
38,0	-0,0	7,050929200000001	7,429300099999997	7,2902320000000005	7,061132799999999	6,779882799999999	7,877504466666666
40,0	-0,0	7,0418962	7,4390652999999975	7,291014	7,053906399999999	6,7767564	7,8806296666666675
42,0	-0,0	7,0436052	7,438088499999997	7,283006	7,055663999999998	6,771287999999999	7,869888066666667
44,0	-0,0	7,042383699999999	7,440237699999997	7,2833956	7,0472668	6,764061999999999	7,863442466666665
46,0	-0,0	7,061916200000001	7,474417699999998	7,2847632	7,0589852	6,7646467999999995	7,866372066666665
48,0	-0,0	6,9346697	7,442776099999998	7,2699207999999995	7,042774	6,738866799999999	7,838637666666667
50,0	-0,0	7,0707047	7,471682499999997	7,270896	7,064453599999999	6,743357999999999	7,840786466666666
52,0	-0,0	7,0697267	7,476565699999997	7,276561200000001	7,0707036	6,752928799999999	7,869888066666666
54,0	-0,0	7,0680197	7,481253299999999	7,3074192	7,096679999999999	6,7824208	7,911098866666666
56,0	-0,0	7,1002452	7,475784499999999	7,3183584	7,109180799999999	6,8144535999999984	7,914224066666666
58,0	-0,0	7,1141612	7,5113312999999975	7,3449192000000005	7,127344799999999	6,812694399999999	7,927504866666667
60,0	-0,0	7,1288092	7,545901699999997	7,354098799999999	7,145704399999999	6,831052799999999	7,930239666666667
62,0	-0,0	7,158839200000001	7,571292099999998	7,255076000000001	7,169921999999999	6,8625	7,958950866666665
64,0	-0,0	7,1822757	7,6042992999999965	7,383398000000001	7,199804800000001	6,872656399999999	7,9792624666666665
66,0	-0,0	7,193018199999999	7,6166044999999984	7,404880400000001	7,229492799999998	6,908007999999999	8,014418466666667
68,0	-0,0	7,216457699999999	7,795655499999999	7,4527316	7,270508799999999	6,9564444	8,066177266666667
70,0	-0,0	7,2328127	7,798829999999999	7,4677724	7,2863284	6,968749599999999	8,076137666666668
72,0	-0,0	7,244533199999999	7,800782999999999	7,472068800000001	7,289648799999999	6,9742184	8,064223666666665
