21.06.2016	13:30:00
h	°C	1	2	3	4
0,00000	28,2	7,36816	7,34375	7,67090	8,06152
0,00278	28,1	7,32422	7,30469	7,64648	8,03711
0,00556	28,1	7,25586	7,23633	7,59766	8,02734
0,00834	28,1	7,16797	7,16797	7,52441	8,00293
0,01112	28,0	7,08008	7,08496	7,46094	7,99316
0,01390	27,9	6,96289	6,97266	7,37305	7,97852
0,01668	27,8	6,80664	6,82617	7,26563	7,95410
0,01946	27,7	6,61133	6,65527	7,12891	7,92969
0,02224	27,7	6,42578	6,49414	7,00195	7,91016
0,02502	27,6	6,25000	6,32813	6,87012	7,87109
0,02780	27,5	6,08887	6,17188	6,73828	7,83203
0,03058	27,4	5,93750	6,03516	6,62598	7,80273
0,03336	27,3	5,80078	5,89844	6,50391	7,76367
0,03614	27,2	5,68359	5,78125	6,41113	7,73438
0,03892	27,2	5,56641	5,67383	6,32324	7,69531
0,04170	27,1	5,46387	5,58105	6,23535	7,66602
0,04448	27,1	5,36621	5,49316	6,15723	7,62695
0,04726	27,1	5,28320	5,40527	6,08887	7,58789
0,05004	27,0	5,19531	5,32715	6,01563	7,54883
0,05282	26,9	5,11719	5,26367	5,95215	7,51953
0,05560	26,9	5,05371	5,19531	5,88867	7,49023
0,05838	26,8	4,99023	5,13184	5,82520	7,46094
0,06116	26,8	4,93652	5,07324	5,76172	7,43652
0,06394	26,7	4,87793	5,01953	5,72266	7,41211
0,06672	26,7	4,81934	4,97559	5,66406	7,38770
0,06950	26,6	4,78027	4,93652	5,60547	7,36328
0,07228	26,6	4,74121	4,89746	5,56152	7,33398
0,07506	26,6	4,70215	4,85840	5,51758	7,30957
0,07784	26,5	4,67773	4,81445	5,46875	7,29492
0,08062	26,5	4,64355	4,78027	5,41992	7,27539
0,08340	26,5	4,60938	4,75098	5,38086	7,26074
0,08618	26,4	4,58984	4,71191	5,34180	7,24121
0,08896	26,4	4,57031	4,68750	5,30273	7,22656
0,09174	26,4	4,55078	4,66797	5,26367	7,20703
0,09452	26,3	4,53613	4,64355	5,22461	7,18750
0,09730	26,3	4,51660	4,63379	5,18555	7,17773
0,10008	26,2	4,50684	4,61914	5,16113	7,16797
0,10286	26,2	4,49219	4,60449	5,13184	7,16797
0,10564	26,2	4,47266	4,58984	5,09766	7,14844
0,10842	26,2	4,46777	4,58008	5,07324	7,12402
0,11120	26,2	4,45313	4,56543	5,04883	7,11914
0,11398	26,1	4,44336	4,55078	5,02930	7,09961
0,11676	26,1	4,41895	4,54102	5,00488	7,08008
0,11954	26,1	4,41406	4,53125	4,98535	7,08496
0,12232	26,1	4,39453	4,52637	4,96094	7,08008
0,12510	26,0	4,38965	4,50195	4,94141	7,07031
0,12788	26,0	4,38477	4,49219	4,92188	7,06055
0,13066	26,0	4,37012	4,47754	4,91211	7,05078
0,13344	26,0	4,36035	4,46289	4,88281	7,05078
0,13622	26,0	4,34570	4,46289	4,87793	7,05566
0,13900	26,0	4,33594	4,44824	4,85840	7,03613
0,14178	26,0	4,33594	4,43359	4,84375	7,02637
0,14456	25,9	4,32129	4,42871	4,83398	7,02148
0,14734	25,9	4,32129	4,42383	4,82422	7,01172
0,15012	25,9	4,31152	4,41895	4,81445	7,01172
0,15290	25,9	4,30176	4,40918	4,79492	7,00195
0,15568	25,9	4,29688	4,40430	4,78516	6,99219
0,15846	25,8	4,28223	4,39941	4,77539	6,98242
0,16124	25,8	4,27734	4,39453	4,77539	6,98242
0,16402	25,8	4,27246	4,38477	4,75586	6,97754
0,16680	25,8	4,26270	4,37988	4,74121	6,97266
0,16958	25,8	4,25781	4,37500	4,73633	6,95801
0,17236	25,8	4,24805	4,37012	4,72656	6,95801
0,17514	25,8	4,23828	4,36523	4,71680	6,95801
0,17792	25,8	4,23828	4,36523	4,70215	6,95801
0,18070	25,8	4,22852	4,34570	4,69238	6,95313
0,18348	25,8	4,22852	4,34570	4,68262	6,94824
0,18626	25,8	4,21875	4,33594	4,66797	6,93359
0,18904	25,8	4,21875	4,33594	4,65820	6,92871
0,19182	25,8	4,22363	4,33594	4,65332	6,92383
0,19460	25,8	4,21875	4,33594	4,64355	6,91406
0,19738	25,7	4,21875	4,32617	4,62891	6,91406
0,20016	25,7	4,21387	4,32129	4,61914	6,90430
0,20294	25,7	4,21875	4,31641	4,59961	6,89453
0,20572	25,7	4,19922	4,31152	4,59961	6,89453
0,20850	25,7	4,19922	4,30664	4,58984	6,89453
0,21128	25,7	4,19434	4,29688	4,58008	6,89453
0,21406	25,7	4,18945	4,29199	4,56055	6,88477
0,21684	25,7	4,17969	4,29688	4,55078	6,88477
0,21962	25,7	4,16992	4,28223	4,54590	6,87500
0,22240	25,7	4,15527	4,28711	4,53613	6,87500
0,22518	25,7	4,15039	4,27734	4,52637	6,87012
0,22796	25,7	4,14063	4,26758	4,52148	6,86523
0,23074	25,7	4,14063	4,26758	4,51172	6,86035
0,23352	25,6	4,13086	4,26270	4,50684	6,85547
0,23630	25,7	4,13086	4,26270	4,50195	6,84570
0,23908	25,6	4,12109	4,25293	4,49707	6,84570
0,24186	25,6	4,11621	4,24805	4,49219	6,83594
0,24464	25,6	4,10156	4,24316	4,49219	6,83105
0,24742	25,6	4,09668	4,23340	4,48242	6,82617
0,25020	25,6	4,08691	4,21875	4,48242	6,82617
0,25298	25,6	4,07715	4,21875	4,48242	6,82617
0,25576	25,6	4,06250	4,19922	4,48242	6,81641
0,25854	25,6	4,04785	4,18945	4,46777	6,81152
0,26132	25,6	4,03809	4,17969	4,44824	6,80664
0,26410	25,6	4,03320	4,16504	4,43848	6,80664
0,26688	25,6	4,01367	4,15039	4,42383	6,79688
0,26966	25,6	4,00391	4,15039	4,40918	6,79199
0,27244	25,6	3,99902	4,13086	4,40918	6,78711
0,27522	25,6	3,99414	4,11133	4,40430	6,78223
0,27800	25,6	3,97461	4,10156	4,40918	6,77734
0,28078	25,6	3,96973	4,09668	4,40430	6,77246
0,28356	25,6	3,95020	4,08691	4,39941	6,76758
0,28634	25,6	3,94531	4,08203	4,38965	6,75781
0,28912	25,6	3,93066	4,07227	4,37500	6,75781
0,29190	25,6	3,92090	4,06738	4,36523	6,75293
0,29468	25,6	3,91602	4,06738	4,35547	6,75781
0,29746	25,5	3,91113	4,06250	4,34570	6,73828
0,30024	25,5	3,89648	4,05273	4,33105	6,73340
0,30302	25,5	3,89160	4,05273	4,32617	6,73340
0,30580	25,5	3,87695	4,04785	4,31641	6,72363
0,30858	25,5	3,87207	4,03320	4,30664	6,71875
0,31136	25,5	3,85742	4,02344	4,30664	6,71387
0,31414	25,5	3,85742	4,01367	4,29688	6,70898
0,31692	25,5	3,84277	3,99902	4,28711	6,70410
0,31970	25,5	3,84277	3,98926	4,26758	6,69922
0,32248	25,5	3,83301	3,98438	4,27246	6,68945
0,32526	25,5	3,82324	3,97461	4,25781	6,68945
0,32804	25,5	3,80859	3,96484	4,24316	6,67969
0,33082	25,5	3,79395	3,95020	4,24316	6,67480
2,00001	28,5	7,25098	7,16309	7,58789	7,78320
2,00279	28,5	7,22168	7,13867	7,55859	7,75391
2,00557	28,5	7,09961	7,01172	7,46094	7,70508
2,00835	28,4	6,98730	6,89941	7,36328	7,65137
2,01113	28,3	6,88477	6,79688	7,24609	7,59277
2,01391	28,2	6,72852	6,64063	7,08008	7,49023
2,01669	28,2	6,55273	6,48438	6,89453	7,39746
2,01947	28,1	6,36719	6,30859	6,70898	7,30469
2,02225	28,0	6,18652	6,14746	6,52344	7,19727
2,02503	27,9	6,00098	5,96680	6,33789	7,09961
2,02781	27,8	5,81543	5,79102	6,17188	7,00684
2,03059	27,7	5,62988	5,62012	6,01074	6,91406
2,03337	27,6	5,44434	5,43945	5,85449	6,82617
2,03615	27,5	5,26367	5,27344	5,69336	6,73340
2,03893	27,5	5,09277	5,10742	5,56152	6,65527
2,04171	27,4	4,93164	4,94141	5,41992	6,57715
2,04449	27,4	4,77051	4,78516	5,28809	6,50879
2,04727	27,3	4,62402	4,62891	5,16602	6,44531
2,05005	27,2	4,48730	4,49219	5,05859	6,38184
2,05283	27,1	4,37012	4,37500	4,95117	6,32324
2,05561	27,1	4,24805	4,25781	4,85840	6,27930
2,05839	27,1	4,15039	4,15039	4,77539	6,24023
2,06117	27,0	4,07227	4,05273	4,68262	6,18652
2,06395	27,0	3,99414	3,98438	4,60938	6,14258
2,06673	26,9	3,93066	3,91113	4,54102	6,09863
2,06951	26,9	3,87207	3,86719	4,47266	6,07422
2,07229	26,9	3,81836	3,81836	4,41406	6,03516
2,07507	26,8	3,76953	3,78906	4,35547	6,00098
2,07785	26,8	3,73535	3,76953	4,29199	5,96680
2,08063	26,7	3,71094	3,77930	4,23828	5,93262
2,08341	26,7	3,73047	3,84766	4,18945	5,91309
2,08619	26,6	3,93066	3,95996	4,14551	5,87402
2,08897	26,6	3,87695	4,07227	4,10156	5,83984
2,09175	26,6	4,07715	4,16016	4,07227	5,81543
2,09453	26,6	4,20410	4,19922	4,04297	5,80078
2,09731	26,5	4,17969	4,20898	4,01367	5,78125
2,10009	26,5	4,11133	4,21875	4,00391	5,75195
2,10287	26,5	4,08691	4,21875	4,05273	5,73242
2,10565	26,4	4,13574	4,22852	4,14551	5,70313
2,10843	26,4	4,18945	4,24805	4,30664	5,68359
2,11121	26,4	4,20898	4,27734	4,41406	5,67383
2,11399	26,4	4,22363	4,29199	4,44824	5,64453
2,11677	26,4	4,21387	4,31152	4,48730	5,62988
2,11955	26,4	4,20898	4,33594	4,51172	5,61523
2,12233	26,3	4,21875	4,34082	4,51660	5,59570
2,12511	26,3	4,21875	4,34570	4,52148	5,58594
2,12789	26,3	4,22363	4,36035	4,52637	5,56152
2,13067	26,2	4,21875	4,37500	4,56055	5,56152
2,13345	26,2	4,19922	4,38965	4,58984	5,55176
2,13623	26,2	4,17969	4,39941	4,61426	5,54688
2,13901	26,2	4,16992	4,40430	4,61914	5,54199
2,14179	26,2	4,15527	4,41895	4,62891	5,53711
2,14457	26,2	4,15039	4,43359	4,64355	5,52246
2,14735	26,2	4,15039	4,45801	4,66309	5,52734
2,15013	26,1	4,15039	4,47754	4,67773	5,51758
2,15291	26,1	4,16992	4,50195	4,69238	5,51270
2,15569	26,1	4,17969	4,54102	4,72168	5,50781
2,15847	26,1	4,19434	4,57031	4,73633	5,50293
2,16125	26,1	4,21875	4,60938	4,75098	5,50293
2,16403	26,1	4,22852	4,64355	4,76074	5,50293
2,16681	26,1	4,23828	4,67773	4,78516	5,49805
2,16959	26,1	4,25781	4,70215	4,80469	5,49805
2,17237	26,1	4,26758	4,72168	4,81934	5,49805
2,17515	26,0	4,28711	4,75098	4,80957	5,49805
2,17793	26,0	4,30664	4,77051	4,78516	5,49316
2,18071	26,0	4,32129	4,79004	4,76563	5,49316
2,18349	26,0	4,34082	4,79980	4,74121	5,49316
2,18627	26,0	4,36523	4,80957	4,71680	5,49316
2,18905	26,0	4,38477	4,83398	4,68262	5,49316
2,19183	26,0	4,40430	4,83887	4,64844	5,49805
2,19461	26,0	4,41895	4,84375	4,62891	5,49805
2,19739	26,0	4,42871	4,84375	4,61914	5,50293
2,20017	26,0	4,45313	4,84863	4,60938	5,49805
2,20295	26,0	4,46777	4,85840	4,60449	5,49805
2,20573	26,0	4,48242	4,86328	4,61914	5,50293
2,20851	25,9	4,49707	4,86328	4,62891	5,50293
2,21129	26,0	4,50684	4,85352	4,66309	5,50781
