28.06.2016	13:35:00
h	°C	1	2	3	4
0,00000	26,3	8,07617	7,93945	7,36328	7,23145
0,00278	26,3	8,06641	7,92969	7,36328	7,21680
0,00556	26,3	8,06641	7,92969	7,32422	7,17285
0,00834	26,3	8,05664	7,91016	7,26563	7,11426
0,01112	26,2	8,05664	7,91016	7,20703	7,06055
0,01390	26,2	8,04199	7,89551	7,15332	7,01172
0,01668	26,2	8,03223	7,88086	7,08984	6,95313
0,01946	26,1	8,01758	7,87109	7,02148	6,89453
0,02224	26,1	8,00781	7,86133	6,96289	6,83594
0,02502	26,0	8,00293	7,86133	6,89941	6,77734
0,02780	26,0	7,97852	7,84668	6,83594	6,69922
0,03058	26,0	7,95898	7,82227	6,74805	6,61133
0,03336	26,0	7,92969	7,80273	6,65039	6,52832
0,03614	25,9	7,92480	7,80273	6,58203	6,45020
0,03892	25,9	7,91016	7,79297	6,49414	6,35742
0,04170	25,9	7,90039	7,78320	6,39648	6,25977
0,04448	25,8	7,89063	7,77344	6,30371	6,16211
0,04726	25,8	7,89063	7,76367	6,21582	6,06934
0,05004	25,8	7,88574	7,77344	6,12305	5,96680
0,05282	25,8	7,87109	7,75879	6,01563	5,86914
0,05560	25,7	7,86133	7,75391	5,90820	5,77148
0,05838	25,7	7,86621	7,75391	5,81055	5,67871
0,06116	25,7	7,85156	7,73438	5,70313	5,58594
0,06394	25,6	7,85156	7,73438	5,60547	5,48828
0,06672	25,6	7,84668	7,74414	5,50781	5,41016
0,06950	25,6	7,83203	7,73438	5,41016	5,31738
0,07228	25,6	7,83691	7,73438	5,32227	5,24414
0,07506	25,5	7,83203	7,72949	5,22949	5,16113
0,07784	25,5	7,83203	7,72461	5,13672	5,08301
0,08062	25,5	7,83203	7,71973	5,04883	5,00977
0,08340	25,5	7,83203	7,71973	4,97559	4,93652
0,08618	25,4	7,83203	7,72461	4,89746	4,87305
0,08896	25,4	7,83203	7,72461	4,80957	4,80469
0,09174	25,4	7,81738	7,71484	4,72656	4,73145
0,09452	25,4	7,81250	7,71484	4,66309	4,67773
0,09730	25,4	7,81250	7,71484	4,58984	4,61914
0,10008	25,4	7,81250	7,70996	4,51660	4,56055
0,10286	25,4	7,81250	7,70996	4,46289	4,50195
0,10564	25,4	7,80762	7,70508	4,39941	4,44336
0,10842	25,4	7,80273	7,70508	4,34570	4,39453
0,11120	25,4	7,80762	7,70508	4,30176	4,34570
0,11398	25,3	7,79785	7,70996	4,23828	4,28711
0,11676	25,3	7,79297	7,69043	4,18457	4,23828
0,11954	25,3	7,80273	7,70508	4,13574	4,19922
0,12232	25,3	7,79785	7,69531	4,09180	4,16992
