05.07.2016	13:45:00
h	°C	1	2	3	4
0,00000	26,3	6,74805	7,34863	7,82227	8,23730
0,00278	26,3	6,73340	7,33887	7,80273	8,22266
0,00556	26,3	6,68457	7,30469	7,75391	8,21777
0,00834	26,3	6,61621	7,21680	7,67578	8,21289
0,01112	26,2	6,56250	7,16309	7,59766	8,20313
0,01390	26,2	6,50879	7,09473	7,51953	8,20313
0,01668	26,2	6,43555	7,02637	7,43164	8,19336
0,01946	26,1	6,35742	6,95313	7,35352	8,18848
0,02224	26,1	6,25000	6,85547	7,26563	8,19824
0,02502	26,0	6,12793	6,75293	7,16797	8,17383
0,02780	26,0	5,99121	6,63574	7,07031	8,17871
0,03058	26,0	5,85938	6,52832	6,98730	8,15918
0,03336	25,9	5,71777	6,41113	6,90918	8,17871
0,03614	25,9	5,58105	6,29883	6,82617	8,15430
0,03891	25,8	5,44922	6,19141	6,73828	8,14941
0,04169	25,8	5,32715	6,08398	6,66016	8,13965
0,04447	25,8	5,20996	5,97168	6,58203	8,13965
0,04725	25,8	5,10254	5,86914	6,51855	8,13477
0,05003	25,7	4,99023	5,75684	6,44531	8,12500
0,05281	25,7	4,88281	5,65918	6,37695	8,12012
0,05559	25,7	4,77539	5,55664	6,31348	8,12012
0,05837	25,7	4,68262	5,45898	6,25000	8,11523
0,06115	25,6	4,58984	5,37109	6,18652	8,10547
0,06393	25,6	4,50684	5,28320	6,12305	8,10547
0,06671	25,6	4,41895	5,19043	6,05957	8,08594
0,06949	25,6	4,33594	5,10742	6,00586	8,08594
0,07227	25,6	4,26758	5,02930	5,95215	8,09570
0,07505	25,5	4,20410	4,95117	5,91309	8,09570
0,07783	25,5	4,12109	4,87305	5,85938	8,08594
0,08061	25,5	4,05273	4,80469	5,80078	8,06641
0,08339	25,5	3,99414	4,73633	5,74707	8,06641
0,08617	25,4	3,93066	4,66797	5,70801	8,08105
0,08895	25,4	3,87695	4,60449	5,66406	8,08594
0,09173	25,4	3,81836	4,54102	5,61035	8,07129
0,09451	25,4	3,76953	4,47266	5,56641	8,06641
0,09729	25,4	3,71094	4,41895	5,53223	8,06152
0,10007	25,4	3,66211	4,37988	5,48828	8,05664
0,10285	25,3	3,61816	4,32129	5,46387	8,04688
0,10563	25,4	3,57910	4,26758	5,41992	8,05664
0,10841	25,3	3,55469	4,22852	5,38086	8,05176
0,11119	25,3	3,52051	4,17969	5,34668	8,04688
0,11397	25,3	3,49121	4,12598	5,31738	8,04688
0,11675	25,3	3,47168	4,09180	5,27832	8,05176
0,11953	25,2	3,45215	4,05273	5,23926	8,04199
0,12231	25,2	3,43750	4,00391	5,19531	8,02734
0,12509	25,3	3,41797	3,97461	5,17090	8,03711
0,12787	25,3	3,40820	3,93555	5,14648	8,04688
0,13065	25,2	3,39844	3,91602	5,12207	8,03711
0,13343	25,2	3,39355	3,89160	5,08789	8,03711
0,13621	25,2	3,39844	3,87695	5,06348	8,03223
0,13899	25,2	3,40820	3,89160	5,03418	8,02734
0,14177	25,2	3,42285	3,94531	5,00977	8,03223
0,14455	25,2	3,43750	4,01367	4,99512	8,02734
0,14733	25,2	3,44727	4,06738	4,96582	8,02734
0,15011	25,2	3,44727	4,11133	4,95117	8,02246
0,15289	25,2	3,46191	4,13574	4,93164	8,02246
0,15567	25,2	3,46680	4,15039	4,91699	8,02246
0,15845	25,2	3,47168	4,15039	4,91211	8,02734
0,16123	25,2	3,47168	4,15039	4,91211	8,02246
0,16401	25,2	3,46680	4,14551	4,95117	8,02246
0,16679	25,2	3,45703	4,15039	5,03418	8,01758
0,16957	25,2	3,45703	4,15527	5,09277	8,01758
0,17235	25,2	3,44727	4,15039	5,10742	8,01270
0,17513	25,2	3,44727	4,16992	5,13672	8,02734
0,17791	25,2	3,45703	4,17969	5,16602	8,02734
0,18069	25,2	3,45703	4,16992	5,17578	8,01758
