14.06.2016	13:30:00
h	°C	1	2	3	4
0,00000	27,9	7,50488	7,47070	7,75391	7,58789
0,00278	27,9	7,45117	7,41699	7,69531	7,52930
0,00556	27,9	7,37793	7,34375	7,62695	7,46582
0,00834	27,8	7,28516	7,24121	7,53906	7,37305
0,01112	27,7	7,14844	7,08984	7,40723	7,24121
0,01390	27,7	6,95313	6,87500	7,21680	7,07031
0,01668	27,6	6,72852	6,64063	7,00684	6,88965
0,01946	27,5	6,50391	6,41602	6,79688	6,68945
0,02224	27,4	6,28418	6,19141	6,59180	6,50391
0,02502	27,3	6,06934	5,99609	6,40625	6,31836
0,02780	27,3	5,87402	5,82031	6,23047	6,15723
0,03058	27,2	5,68848	5,65430	6,07422	6,01074
0,03336	27,1	5,53711	5,51758	5,95703	5,87402
0,03614	27,1	5,40039	5,39063	5,82520	5,75684
0,03892	27,0	5,27344	5,27344	5,71289	5,63477
0,04170	26,9	5,15625	5,17090	5,60059	5,53711
0,04448	26,9	5,04883	5,06836	5,49805	5,44434
0,04726	26,8	4,94141	4,97559	5,39551	5,35645
0,05004	26,7	4,84375	4,89258	5,30273	5,27344
0,05282	26,7	4,75586	4,80469	5,20508	5,19531
0,05560	26,6	4,65820	4,71680	5,12695	5,11719
0,05838	26,6	4,58008	4,63867	5,01953	5,03906
0,06116	26,5	4,49219	4,55078	4,94629	4,97070
0,06394	26,4	4,40430	4,46289	4,85840	4,88770
0,06672	26,4	4,31641	4,37500	4,77051	4,82422
0,06950	26,4	4,22363	4,29688	4,68262	4,75586
0,07228	26,3	4,15039	4,21875	4,60938	4,68262
0,07506	26,3	4,06738	4,13086	4,52637	4,61426
0,07784	26,2	4,00391	4,05273	4,44824	4,55566
0,08062	26,2	3,94043	3,97461	4,38477	4,49707
0,08340	26,1	3,90137	3,89648	4,29688	4,44824
0,08618	26,1	3,89648	3,82813	4,23340	4,38965
0,08896	26,1	3,92578	3,75977	4,17480	4,33594
0,09174	26,0	3,95996	3,70605	4,13086	4,29688
0,09452	26,0	3,97461	3,69141	4,12109	4,25293
0,09730	26,0	3,97461	3,82813	4,16992	4,22852
0,10008	25,9	3,96484	3,65234	4,20898	4,22852
0,10286	25,9	3,96973	3,78906	4,22852	4,24805
0,10564	25,9	3,97461	3,96973	4,29688	4,28223
0,10842	25,9	3,95508	4,07227	4,33594	4,32129
0,11120	25,8	3,95508	4,09180	4,34570	4,34570
0,11398	25,8	3,93555	4,04785	4,35547	4,36523
0,11676	25,8	3,91602	3,98438	4,35547	4,37500
0,11954	25,8	3,89648	3,90625	4,36035	4,36523
0,12232	25,7	3,89160	3,87695	4,33594	4,37500
0,12510	25,7	3,87207	3,91602	4,33594	4,37012
0,12788	25,7	3,86719	3,99414	4,35059	4,37012
0,13066	25,7	3,84766	4,02344	4,36523	4,36035
0,13344	25,6	3,84766	3,98438	4,37500	4,35547
0,13622	25,6	3,83789	3,92578	4,34570	4,34082
0,13900	25,6	3,83789	3,86719	4,34570	4,31641
0,14178	25,6	3,83789	3,84766	4,35547	4,30664
0,14456	25,6	3,83301	3,88184	4,34570	4,29688
0,14734	25,5	3,82813	3,92090	4,33594	4,30176
0,15012	25,5	3,80859	3,91602	4,33594	4,28711
0,15290	25,5	3,79883	3,88672	4,34082	4,27246
0,15568	25,5	3,80371	3,85742	4,33594	4,25781
0,15846	25,4	3,79883	3,83301	4,32617	4,24805
0,16124	25,4	3,79395	3,81836	4,32617	4,24805
0,16402	25,4	3,78906	3,84277	4,33594	4,24316
0,16680	25,4	3,77930	3,85254	4,32617	4,23340
0,16958	25,4	3,76953	3,83789	4,33594	4,22852
0,17236	25,4	3,75977	3,81348	4,35059	4,21875
0,17514	25,4	3,74023	3,78906	4,35547	4,21387
0,17792	25,4	3,72559	3,75000	4,33594	4,20898
0,18070	25,3	3,71582	3,72559	4,33105	4,20410
0,18348	25,3	3,69141	3,74512	4,32129	4,18945
0,18626	25,3	3,69141	3,75977	4,32129	4,17969
0,18904	25,3	3,67188	3,75488	4,31152	4,16992
0,19182	25,3	3,66211	3,73047	4,30664	4,15527
0,19460	25,3	3,64258	3,70117	4,28223	4,15039
0,19738	25,3	3,63770	3,66211	4,26758	4,14063
0,20016	25,2	3,60840	3,62305	4,24805	4,13574
0,20294	25,3	3,59375	3,63770	4,23828	4,13086
0,20572	25,2	3,57422	3,69141	4,21387	4,11133
0,20850	25,2	3,55469	3,72070	4,19922	4,10156
0,21128	25,2	3,53516	3,69141	4,17969	4,09180
0,21406	25,2	3,52539	3,63770	4,16504	4,08203
0,21684	25,2	3,51563	3,58398	4,14551	4,06250
0,21962	25,2	3,49609	3,54004	4,13574	4,05273
0,22240	25,2	3,48145	3,54492	4,12598	4,04297
0,22518	25,2	3,46191	3,57422	4,12109	4,03809
0,22796	25,2	3,45215	3,59375	4,11133	4,02344
0,23074	25,2	3,44727	3,56934	4,09668	4,00391
0,23352	25,2	3,44238	3,53027	4,08203	3,98926
0,23630	25,2	3,41797	3,49609	4,06738	3,97949
0,23908	25,2	3,41309	3,46680	4,05273	3,96484
0,24186	25,2	3,41309	3,46191	4,05762	3,95508
0,24464	25,2	3,40332	3,49121	4,04297	3,94531
0,24742	25,2	3,39355	3,51074	4,02344	3,92578
0,25020	25,1	3,38379	3,50098	4,00879	3,91113
0,25298	25,1	3,37402	3,45703	4,00391	3,89648
0,25576	25,1	3,36914	3,42773	3,98926	3,88672
0,25854	25,1	3,36914	3,39844	3,97949	3,87695
0,26132	25,1	3,35449	3,38867	3,96973	3,86230
0,26410	25,1	3,34961	3,41309	3,95508	3,85254
0,26688	25,1	3,35449	3,42773	3,95508	3,83789
0,26966	25,1	3,36914	3,40820	3,95996	3,81348
0,27244	25,1	3,36914	3,37402	3,95508	3,78906
0,27522	25,1	3,35938	3,34961	3,94531	3,76953
0,27800	25,1	3,34961	3,33984	3,93555	3,75977
0,28078	25,1	3,33984	3,34961	3,93066	3,75000
0,28356	25,1	3,33496	3,37891	3,92090	3,74023
0,28634	25,1	3,33984	3,38867	3,91113	3,72559
0,28912	25,1	3,33008	3,36914	3,90625	3,72070
0,29190	25,1	3,33008	3,33008	3,90137	3,70117
0,29468	25,1	3,32520	3,29102	3,89648	3,68164
0,29746	25,1	3,31055	3,27148	3,89160	3,67188
0,30024	25,1	3,30566	3,27148	3,89648	3,66211
0,30302	25,1	3,31055	3,28125	3,88184	3,64258
