26.07.2016	13:30:00
h	°C	1	2	3	4
1,13622	25,6	5,62500	7,18750	7,46094	6,76270
1,13900	25,6	5,61035	7,17773	7,45117	6,75781
1,14178	25,6	5,59570	7,17773	7,44629	6,75293
1,14456	25,6	5,57617	7,16797	7,44141	6,73828
1,14734	25,5	5,56641	7,16309	7,44141	6,72852
1,15012	25,6	5,55664	7,16309	7,43164	6,71387
1,15290	25,5	5,54199	7,16309	7,42676	6,70898
1,15568	25,5	5,51758	7,16309	7,43164	6,69922
1,15846	25,5	5,50293	7,15332	7,42188	6,68457
1,16124	25,5	5,48828	7,15332	7,42188	6,67969
1,16402	25,5	5,46875	7,13867	7,41211	6,66504
2,00001	26,6	6,92383	7,77832	7,89551	7,58301
2,00279	26,7	6,92871	7,77344	7,89063	7,57813
2,00557	26,6	6,91406	7,78320	7,89551	7,56836
2,00835	26,6	6,85547	7,75391	7,87598	7,51953
2,01113	26,6	6,80176	7,72949	7,86133	7,48047
2,01391	26,6	6,73828	7,70508	7,84180	7,44141
2,01669	26,6	6,66016	7,67090	7,82227	7,40234
2,01947	26,5	6,59180	7,63672	7,81250	7,35352
2,02225	26,5	6,52832	7,60742	7,79297	7,32422
2,02503	26,5	6,47461	7,58301	7,77832	7,29004
2,02781	26,4	6,43066	7,56836	7,76367	7,26563
2,03059	26,4	6,38672	7,54883	7,75391	7,24121
2,03337	26,4	6,34766	7,52930	7,73438	7,22168
2,03615	26,4	6,30371	7,50977	7,73438	7,20703
2,03893	26,4	6,26953	7,50000	7,72461	7,19727
2,04171	26,3	6,24023	7,49023	7,71484	7,18750
2,04449	26,3	6,21094	7,47559	7,71484	7,16797
2,04727	26,3	6,17188	7,46094	7,69531	7,16797
2,05005	26,2	6,15234	7,46094	7,69043	7,15820
2,05283	26,2	6,13281	7,45117	7,67578	7,15820
2,05561	26,2	6,10840	7,44141	7,67090	7,14844
2,05839	26,1	6,08398	7,44141	7,66602	7,14355
2,06117	26,1	6,05469	7,42188	7,65625	7,13867
2,06395	26,0	6,04492	7,42188	7,65137	7,12891
2,06673	26,0	6,02539	7,41211	7,64160	7,11914
