Minimum
Sample;Period per day
PhT64_4_2016-06-14_13-03-00.txt
1;23;10;32;19;18;25
2;23;10;32;19;21;22
3;23;10;32;19;22;24
4;23;10;32;19;18;28
PhT64_4_2016-06-21_12-56-03.txt
1;16;11;34;34;13;21
2;19;22;20;18;24;24
3;17;14;30;21;25;24
4;16;15;29;23;27;20
PhT64_4_2016-06-28_12-47-21.txt
1;22;24;21;17;26;21
2;25;13;27;21;25;20
3;18;11;24;24;25;40
4;18;10;25;24;25;40
PhT64_4_2016-07-05_13-42-09.txt
1;25;24;23;25;10;43
2;18;24;26;9;26;36
3;18;12;22;27;25;34
4;18;12;26;22;27;24

Maximum
Sample;Period per day
PhT64_4_2016-06-14_13-03-00.txt
1;32;26;22;21;29;9
2;26;25;24;24;23;9
3;30;26;25;23;24;8
4;31;27;23;23;26;8
PhT64_4_2016-06-21_12-56-03.txt
1;23;32;19;31;25;11
2;24;35;23;25;21;15
3;25;23;22;26;24;11
4;26;22;22;8;42;12
PhT64_4_2016-06-28_12-47-21.txt
1;24;22;26;19;23;26
2;20;26;28;21;20;26
3;26;24;25;26;22;24
4;26;24;26;25;22;24
PhT64_4_2016-07-05_13-42-09.txt
1;25;24;23;25;21;27
2;24;25;27;24;24;20
3;27;18;34;24;22;13
4;27;32;24;24;21;10
