Minimum
Sample;Phase;milliVolt
PhT64_4_2016-06-14_13-03-00.txt
1;20;2,3789006666666666
;18;5,292962
;4;5,00976
;12;4,939445999999999
;7;6,176752
;2;6,627273333333332
;3;7,0085405000000005
2;19;2,2177729999999998
;18;4,712891999999999
;4;4,427733999999999
;12;4,319336000000001
;7;5,861816
;4;6,6060532
;3;6,963378
3;20;2,432946666666667
;18;5,181644
;4;4,520512
;12;4,886722000000001
;7;5,905765000000001
;5;6,677494
;5;7,095219
4;20;2,0576153333333336
;18;5,067382
;4;4,253906
;12;4,670896000000001
;7;5,699706000000001
;2;6,370117333333334
;5;6,834473000000001
PhT64_4_2016-06-21_12-56-03.txt
1;19;3,211913
;21;5,862304
;21;5,839355000000001
;8;5,4257800000000005
;18;5,719724000000001
;7;6,568358333333332
;4;6,896287200000001
2;19;3,1240210000000004
;14;5,660156000000001
;12;5,620116
;8;4,952146000000001
;17;6,230956333333334
;3;6,384277
;3;6,8283675000000015
3;19;1,7827129999999989
;12;4,639647333333333
;2;4,037107999999999
;8;4,448241999999999
;5;5,487791999999999
;6;6,158592399999998
;6;6,2734359999999985
4;21;2,990715999999999
;12;5,1267508
;3;4,408195
;8;5,357415999999999
;7;6,640130999999999
;10;6,890616
;6;6,66503
PhT64_4_2016-06-28_12-47-21.txt
1;19;6,4140644999999985
;16;6,845381333333332
;16;7,0068373333333325
;13;7,073244999999999
;6;7,307340857142856
;8;7,5337908
;5;7,626956
2;19;6,5476075
;19;6,7817370000000015
;8;6,915036000000001
;11;7,078611500000001
;8;7,338306857142858
;9;7,565265000000001
;5;7,676268000000002
3;18;4,257808000000002
;22;5,4150360000000015
;12;5,584960000000001
;0;5,345702000000001
;0;5,309570000000001
;15;5,630370000000001
;16;5,3505833333333355
4;18;4,281256000000002
;22;5,355476000000001
;12;5,572272000000001
;0;5,169926000000001
;0;5,142586000000001
;15;5,644050000000001
;21;5,115241000000001

Maximum
Sample;Phase;milliVolt
PhT64_4_2016-06-14_13-03-00.txt
1;8;5,935538
;16;6,34472
;18;5,961908666666666
;17;6,614252
;14;6,918614444444444
;19;7,355219
;4;7,4367116
2;15;6,145508
;17;6,1184075
;18;6,2919920000000005
;19;6,7458485
;19;7,067139
;17;7,411132
;3;7,2727055
3;10;6,085942
;16;6,471356666666668
;18;6,313804666666667
;20;6,947595333333333
;19;7,3786645
;19;7,675052000000001
4;8;5,512696000000001
;15;6,258785999999999
;18;5,7815753333333335
;18;6,4402344
;17;6,903321000000001
;19;7,3212875
;3;7,3903805
PhT64_4_2016-06-21_12-56-03.txt
1;7;6,255858000000001
;6;6,609374000000001
;14;5,985349333333333
;9;6,09289375
;16;6,693552800000001
;18;7,0517568000000015
;4;7,305467200000001
2;6;6,14746
;6;6,473634
;17;6,02783
;16;6,213670800000001
;18;6,902342800000001
;15;7,093504750000001
;5;7,2783190000000015
3;17;5,065427999999999
;18;5,908526666666664
;17;6,218260999999998
;21;6,320799999999998
;18;6,869920799999998
;17;7,200193999999998
;4;7,650389999999999
4;17;5,199211999999999
;19;6,453605999999999
;17;7,299308999999999
;21;7,5483319999999985
;19;7,676995499999999
;17;7,733877999999999
;5;7,9916925
PhT64_4_2016-06-28_12-47-21.txt
1;6;7,925783999999998
;6;7,283206
;4;7,232747333333332
;6;7,307340857142856
;21;7,771974999999999
;22;7,907229999999998
;3;7,889649999999999
2;6;7,648436000000001
;2;7,089842000000002
;4;7,138995333333334
;8;7,338306857142859
;5;7,577145666666669
;1;7,785153000000002
;3;7,861568500000001
3;4;7,113278000000003
;6;6,7431600000000005
;6;6,503904000000001
;7;6,240232000000001
;9;6,183591000000002
;7;5,9594710000000015
;7;5,716307000000001
4;4;7,250006000000002
;6;6,845712000000001
;6;6,4296940000000005
;8;6,169928000000001
;9;6,114751000000002
;7;5,899419000000002
;7;5,5820370000000015
