18.02.2020	15:10:00
h	°C	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
0,00000	22,2	7,36816	7,83203	7,40723	7,62207	7,73926	6,57715	6,26465	6,53809	7,16309	6,55273	6,26953	6,41602	6,50391	5,58105	6,15234	7,30957	6,35254	6,20117	6,64551	7,12402	6,75293	7,25586	6,50879	6,87988	7,22168	7,21191	6,90430	7,03125	6,37695	7,17773	9,99512	0,08301
0,00834	22,3	7,05566	7,53906	7,09473	7,31934	7,41699	5,99121	5,64941	5,90820	6,50391	5,95215	5,03418	5,51270	5,69824	4,83398	5,35156	6,97266	6,01563	5,88379	6,33789	6,79688	6,30859	6,70898	5,98145	6,39160	6,63086	6,65527	6,35742	6,52344	5,91309	6,66016	9,99512	0,08301
0,01667	22,3	6,61133	7,11914	6,65039	6,86523	6,99219	5,03906	4,59473	4,86816	5,39063	4,90723	3,92578	4,25781	4,46777	3,76953	4,17969	6,51367	5,53223	5,42480	5,88379	6,33789	5,69336	5,94727	5,27344	5,70313	5,85449	5,82031	5,55664	5,70313	5,18555	5,91309	9,99512	0,08301
0,02501	22,3	6,09863	6,59668	6,14258	6,33301	6,46484	4,37012	3,93066	4,25293	4,68262	4,21875	3,54492	3,68164	3,84766	3,25195	3,62305	6,05957	5,03906	4,93652	5,45410	5,84473	5,14648	5,30273	4,66309	5,09277	5,19531	5,10254	4,86328	4,99023	4,53125	5,26855	9,99512	0,08301
0,03334	22,3	5,63477	6,09375	5,64453	5,82031	5,96680	3,94043	3,54492	3,85254	4,21875	3,81836	3,19336	3,34961	3,47656	2,97363	3,30566	5,63477	4,62891	4,51660	5,04395	5,42969	4,71191	4,80469	4,21387	4,63379	4,72168	4,63379	4,38965	4,49707	4,07227	4,76563	9,99512	0,08301
0,04167	22,3	5,21973	5,64453	5,23438	5,35156	5,54199	3,68164	3,32520	3,61328	3,96484	3,59375	2,97363	3,14453	3,27148	2,78320	3,12500	5,30762	4,33105	4,19922	4,76074	5,09277	4,37500	4,44824	3,91602	4,31641	4,38477	4,28711	4,05762	4,15527	3,74023	4,39453	9,99512	0,08301
0,05001	22,3	4,88281	5,25879	4,88770	4,98047	5,19043	3,51074	3,19824	3,48145	3,83301	3,48145	2,83203	3,00781	3,15430	2,66113	2,99316	5,05859	4,10645	3,96973	4,53613	4,82910	4,12109	4,19434	3,70605	4,06250	4,14551	4,03809	3,82813	3,90137	3,51074	4,13086	9,99512	0,07813
0,05835	22,4	4,61914	4,94629	4,59473	4,67285	4,88770	3,40820	3,12500	3,39355	3,75000	3,41309	2,70508	2,87109	3,03711	2,55859	2,88086	4,86816	3,95020	3,78418	4,37988	4,63379	3,90625	3,99902	3,53516	3,85254	3,95020	3,86230	3,64746	3,72070	3,33984	3,92090	9,99512	0,08301
0,06668	22,4	4,38965	4,69727	4,37988	4,43359	4,64844	3,33008	3,01758	3,29102	3,64258	3,33008	2,57813	2,73926	2,92480	2,45605	2,76855	4,71680	3,84277	3,63770	4,25781	4,46777	3,72559	3,84277	3,40332	3,68652	3,77930	3,71582	3,51074	3,58398	3,22754	3,76465	9,99512	0,07813
0,07501	22,4	4,20898	4,48730	4,18457	4,22363	4,45313	3,25195	2,91504	3,17871	3,52051	3,24219	2,46094	2,61230	2,81738	2,35840	2,65625	4,60449	3,75977	3,53516	4,17969	4,32129	3,57910	3,71094	3,29590	3,55957	3,65723	3,59863	3,39844	3,45215	3,11523	3,64746	9,99512	0,08301
