Minimum
Sample;Phase;milliVolt
PhT64_32_2020-02-18_15-04-04
1;16;5,708988
;12;4,388674
;13;3,6992215
;18;3,378908
;19;2,8960005
;18;2,5402384000000002
;11;2,4051138333333335
2;16;5,628908000000001
;12;3,7040999999999995
;15;3,05176
;4;3,3330080000000004
;15;3,1464855
;20;2,8466799999999997
;11;2,9368494999999997
3;16;5,614254
;12;3,859371999999999
;13;3,274166499999999
;18;3,0498
;16;2,772317428571428
;19;2,4594679999999998
;14;2,285803333333333
4;16;5,747066000000001
;12;3,698240000000001
;14;2,978186000000001
;17;2,7553676666666678
;16;2,443356857142858
;12;2,2774290909090915
;10;2,1413321818181825
5;16;5,76855
;12;4,043942
;14;3,3496046666666675
;18;3,1855420000000003
;17;2,8185176666666667
;19;2,4257765000000004
;10;2,3063701818181825
6;15;3,7587959999999994
;17;2,0927789999999997
;16;2,2216879999999994
;18;2,9892659999999998
;0;4,350593999999999
;20;5,326179999999999
;14;4,8574280000000005
7;15;2,991208000000001
;17;1,5917940000000008
;15;2,041500000000001
;18;2,0185500000000007
;16;2,904294000000001
;20;4,356442
;14;4,375974000000001
8;15;3,125983000000001
;17;1,5473700000000012
;15;2,1269600000000013
;18;2,1533260000000007
;16;3,0312560000000017
;20;4,7851620000000015
;14;3,695320000000001
9;15;3,291019
;17;1,7192440000000002
;15;2,436525
;18;2,581058
;17;3,819338
;20;4,5693399999999995
;14;4,52442
10;15;3,278816
;17;1,782235
;16;2,138678
;18;2,1630960000000004
;16;3,1943420000000002
;20;4,488289999999999
;14;3,7070400000000006
11;17;3,714845
;17;1,05713
;15;1,8471719999999998
;18;2,0507839999999997
;16;2,933596
;20;5,316408
;14;3,934572
12;15;3,4990299999999994
;17;1,208017
;16;1,888682
;18;2,196296
;16;3,326178
;20;5,209967999999999
;14;4,244149999999999
13;15;3,598147
;17;1,3598630000000003
;16;1,7607440000000003
;18;2,146484
;18;3,5595699999999995
;20;4,485352000000001
;14;4,554686
14;15;2,769045
;17;0,4799830000000001
;16;0,9619180000000002
;18;1,6230480000000003
;16;2,057622
;20;5,615238
;14;5,3242199999999995
15;15;3,3134810000000012
;17;1,121100000000001
;16;2,388676000000001
;18;2,4707100000000013
;0;3,0185620000000015
;3;4,081549000000002
;14;6,3076240000000015
16;19;1,9121110000000008
;21;2,0869140000000006
;0;1,895510000000001
;18;2,8906280000000004
;0;2,280274000000001
;1;3,7539090000000006
;22;3,773440000000001
17;19;1,6723639999999989
;21;1,8769529999999992
;0;1,6230479999999994
;18;2,6601539999999995
;0;1,949217999999999
;1;3,1484379999999987
;22;3,3818379999999992
18;19;1,6157269999999997
;21;1,7187539999999997
;0;1,5019579999999995
;18;2,372076
;0;1,684574
;1;2,549322
;0;3,8125019999999994
19;19;1,8154280000000003
;21;1,976562
;0;1,7685559999999996
;18;2,67871
;0;2,08496
;1;3,4228510000000005
;22;3,5683600000000006
20;19;1,9311570000000002
;0;1,9951240000000006
;18;2,7451220000000007
;0;2,2607480000000004
;20;3,2578160000000005
;14;5,912116
21;19;1,7841750000000007
;21;1,7226540000000008
;0;1,6796840000000004
;18;2,9697260000000005
;0;2,4247980000000005
;1;3,914547
;22;4,583980000000001
22;19;2,272951000000001
;21;2,2876000000000007
;0;2,257814000000001
;3;3,505862000000001
;0;2,938478000000001
;1;4,400881000000001
;22;5,424806000000001
23;19;1,8466820000000006
;21;1,8593780000000009
;0;1,9003920000000007
;18;3,108398
;0;2,519534000000001
;1;4,095217
;22;5,032228000000001
24;19;1,9243129999999997
;21;1,9321259999999998
;22;2,3359360000000002
;18;3,16406
;0;2,6181620000000003
;20;4,159178
;14;5,492184
25;19;1,9960979999999995
;21;1,9868209999999993
;0;2,0107459999999997
;18;3,1943419999999993
;0;2,647465999999999
;1;4,102055
;22;4,853517999999999
26;19;2,026365
;21;2,1494120000000003
;22;2,356444
;18;3,25488
;0;2,9218720000000005
;20;4,84277
;22;3,874998
27;19;2,177246
;21;2,3251939999999998
;22;2,57422
;18;3,258788
;0;2,7460940000000003
;0;4,417968
;22;4,08496
28;19;1,2373049999999988
;21;1,264644999999999
;22;1,6933579999999988
;18;3,1992179999999983
;0;2,4365219999999987
;20;3,579101999999999
;14;6,992187999999999
29;19;1,774415999999999
;21;1,8115249999999992
;22;2,0585959999999988
;18;3,150393999999999
;0;2,729493999999999
;20;4,193361999999999
;22;3,5458999999999987
30;19;1,6464850000000002
;21;1,8115230000000004
;22;2,11133
;18;3,7001959999999996
;0;3,256836
;20;4,561524
;22;4,2334000000000005
31;17;9,99512
;11;9,99512
;11;9,99512
;11;9,99512
;11;9,99512
;11;9,99512
;11;9,99512
32;22;0,07910600000000001
;2;0,07813
;12;0,07910600000000001
;10;0,07813
;13;0,07813
;22;0,07813
;19;0,07813

Maximum
Sample;Phase;milliVolt
PhT64_32_2020-02-18_15-04-04
1;5;6,015141
;20;4,094406
;1;4,129397
;2;3,3629600000000006
;11;2,6231725000000004
;12;2,398618181818182
;5;2,431480666666667
2;5;5,519042
;20;3,4150380000000005
;21;3,789061
;2;3,5589193333333333
;10;3,126084666666666
;11;2,9368494999999997
;6;3,0648432
3;5;5,641107999999999
;20;3,5729139999999995
;1;3,7412059999999996
;2;3,1363886666666665
;9;2,5688437499999996
;6;2,3569994285714277
;5;2,2166303333333324
4;4;5,606442000000001
;20;3,1341113333333337
;1;3,2861290000000007
;2;2,737302000000001
;12;2,277429090909092
;11;2,134681166666667
;5;2,0349906666666677
5;5;5,973629000000001
;20;3,714514
;1;3,865718
;2;3,2226513333333338
;10;2,540174285714286
;14;2,273324222222223
;5;2,192542
6;22;6,107429999999999
;7;5,0737380000000005
;0;6,874029999999999
;2;6,621101999999999
;22;7,326179999999999
;3;7,5488349999999995
;3;7,235358
7;22;5,556636
;7;4,652828000000001
;0;6,800776000000001
;2;7,068356
;9;7,019530000000001
;3;7,089351000000001
;3;7,219236
8;22;5,777350000000001
;7;4,793464
;0;7,183600000000001
;2;7,484380000000002
;9;7,380377000000001
;2;7,458012000000002
